data_role,hypothesis_id,factor,condition,expected_direction,financial_mechanism,decision_clock,n_in_months,n_out_months,factor_active_episode_count,aligned_episode_count,comparable_year_count,aligned_year_count,pooled_lift,median_episode_lift,median_annual_lift,machine_directional_evidence,financial_verdict
development_listing_not_pass_evidence,H_INDUSTRY_SIDEWAYS,industry,sideways,enhance,sideways regime supports industry opportunity,14:45,11,1,2,2,1,1,0.000395935264751,0.000409337532441,0.000395935264751,aligned,waiting_user_review
development_listing_not_pass_evidence,H_INDUSTRY_DOWN,industry,down,weaken,downtrend weakens industry contribution,14:30,1,11,1,1,1,1,-0.002150855824,-0.002150855824,-0.002150855824,aligned,waiting_user_review
development_listing_not_pass_evidence,H_INDUSTRY_DOWN,industry,down,weaken,downtrend weakens industry contribution,14:45,1,11,1,1,1,1,-0.000395935264751,-0.000395935264751,-0.000395935264751,aligned,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDEX_UP,index,up,enhance,uptrend strengthens market skeleton,14:30,7,91,6,6,6,5,0.0310250143054,0.0361634109115,0.0323894504129,aligned,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDEX_UP,index,up,enhance,uptrend strengthens market skeleton,14:45,7,91,6,6,6,5,0.0320078436603,0.0335324586617,0.0304775554993,aligned,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDEX_DOWN,index,down,weaken,downtrend weakens market skeleton,14:30,6,92,6,1,3,0,0.0375314015837,0.0362769141888,0.0543104071446,opposed,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDEX_DOWN,index,down,weaken,downtrend weakens market skeleton,14:45,6,92,6,1,3,0,0.0361959971879,0.0368548841745,0.0524438827622,opposed,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDUSTRY_UP,industry,up,enhance,uptrend supports industry participation,14:30,7,91,6,5,6,4,0.00597561535225,0.0026618338462,0.00185110795973,aligned,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDUSTRY_UP,industry,up,enhance,uptrend supports industry participation,14:45,7,91,6,4,6,4,0.00452387148532,0.00239864155781,0.00209297788888,aligned,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDUSTRY_SIDEWAYS,industry,sideways,enhance,sideways regime supports industry opportunity,14:30,85,13,12,0,7,2,-0.0054177985037,-0.00466405527551,-0.00305849978439,opposed,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDUSTRY_SIDEWAYS,industry,sideways,enhance,sideways regime supports industry opportunity,14:45,85,13,12,0,7,2,-0.00479953972785,-0.00432989288997,-0.00278513329831,opposed,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDUSTRY_DOWN,industry,down,weaken,downtrend weakens industry contribution,14:30,6,92,6,2,3,0,0.00394963834637,0.00593529032567,0.00443205687761,opposed,waiting_user_review
consumed_repeat_comparison_no_retune,H_INDUSTRY_DOWN,industry,down,weaken,downtrend weakens industry contribution,14:45,6,92,6,1,3,0,0.00438729214335,0.00452777661388,0.00293514579114,opposed,waiting_user_review
